Date	Q1 Answer	
2018-12-02 02:40:13 Etc/GMT	Brendan Chan	
2018-12-02 02:40:16 Etc/GMT	Brendan Chan	
2018-12-02 02:40:40 Etc/GMT	Laurens Bosman	
2018-12-02 02:42:19 Etc/GMT	Brendan Chan	
2018-12-02 02:42:59 Etc/GMT	Brendan Chan	
2018-12-02 02:46:44 Etc/GMT	Laurens Bosman	
2018-12-02 02:48:29 Etc/GMT	Brendan Chan	
2018-12-02 02:48:34 Etc/GMT	Hailey Friesen	
2018-12-02 02:49:08 Etc/GMT	Hailey Friesen	
2018-12-02 02:54:02 Etc/GMT	Laurens Bosman	
2018-12-02 03:00:36 Etc/GMT	John Sweeney	
2018-12-02 03:01:21 Etc/GMT	John Sweeney	
2018-12-02 03:05:21 Etc/GMT	Brendan Chan	
2018-12-02 03:08:50 Etc/GMT	Laurens Bosman	
2018-12-02 03:13:08 Etc/GMT	Laurens Bosman	
2018-12-02 03:14:33 Etc/GMT	Laurens Bosman	
2018-12-02 03:15:47 Etc/GMT	Laurens Bosman	
2018-12-02 03:18:35 Etc/GMT	Brendan Chan	
2018-12-02 03:18:55 Etc/GMT	Laurens Bosman	
2018-12-02 03:20:39 Etc/GMT	Hailey Friesen	
2018-12-02 03:20:41 Etc/GMT	Hailey Friesen	
2018-12-02 03:20:52 Etc/GMT	Brendan Chan	
2018-12-02 03:33:16 Etc/GMT	Vote of No Confidence	
2018-12-02 03:43:53 Etc/GMT	Brendan Chan	
2018-12-02 03:50:52 Etc/GMT	Hailey Friesen	
2018-12-02 04:03:52 Etc/GMT	Laurens Bosman	
2018-12-02 04:10:27 Etc/GMT	Hailey Friesen	
2018-12-02 04:31:22 Etc/GMT	Hailey Friesen	
2018-12-02 04:33:14 Etc/GMT	Hailey Friesen	
2018-12-02 04:35:06 Etc/GMT	Laurens Bosman	
2018-12-02 04:37:03 Etc/GMT	Brendan Chan	
2018-12-02 05:27:53 Etc/GMT	Hailey Friesen	
2018-12-02 05:43:04 Etc/GMT	John Sweeney	
2018-12-02 06:17:33 Etc/GMT	John Sweeney	
2018-12-02 06:23:48 Etc/GMT	Brendan Chan	
2018-12-02 06:28:57 Etc/GMT	John Sweeney	
2018-12-02 06:37:35 Etc/GMT	Laurens Bosman	
2018-12-02 06:44:59 Etc/GMT	Laurens Bosman	
2018-12-02 06:51:08 Etc/GMT	Brendan Chan	
2018-12-02 10:20:54 Etc/GMT	Vote of No Confidence	
2018-12-02 20:36:44 Etc/GMT	Vote of No Confidence	
2018-12-02 21:06:42 Etc/GMT	Hailey Friesen	
2018-12-02 23:16:47 Etc/GMT	Hailey Friesen	
2018-12-03 00:40:55 Etc/GMT	Brendan Chan	
2018-12-03 03:59:24 Etc/GMT	Hailey Friesen	
2018-12-03 04:01:55 Etc/GMT	Hailey Friesen	
2018-12-03 06:04:24 Etc/GMT	Hailey Friesen	
2018-12-03 17:07:36 Etc/GMT	Hailey Friesen	
2018-12-03 18:15:18 Etc/GMT	Laurens Bosman	
2018-12-03 18:24:47 Etc/GMT	Laurens Bosman	
2018-12-03 18:25:11 Etc/GMT	Laurens Bosman	
2018-12-03 18:27:14 Etc/GMT	Laurens Bosman	
2018-12-03 18:27:37 Etc/GMT	Laurens Bosman	
2018-12-03 18:33:38 Etc/GMT	Laurens Bosman	
2018-12-03 19:26:46 Etc/GMT	Hailey Friesen	
2018-12-03 19:44:37 Etc/GMT	Laurens Bosman	
2018-12-03 20:03:18 Etc/GMT	Vote of No Confidence	
2018-12-03 20:17:08 Etc/GMT	Laurens Bosman	
2018-12-03 20:45:43 Etc/GMT	Brendan Chan	
2018-12-03 20:57:40 Etc/GMT	Laurens Bosman	
2018-12-04 00:53:30 Etc/GMT	Laurens Bosman	
2018-12-04 00:54:20 Etc/GMT	Laurens Bosman	
2018-12-04 01:33:44 Etc/GMT	Laurens Bosman	
2018-12-04 01:49:45 Etc/GMT	Hailey Friesen	
2018-12-05 02:47:30 Etc/GMT	Hailey Friesen	
2018-12-07 22:21:49 Etc/GMT	Laurens Bosman	
2018-12-08 01:36:49 Etc/GMT	Laurens Bosman	
2018-12-08 02:28:41 Etc/GMT	Laurens Bosman	
2018-12-08 03:39:20 Etc/GMT	Vote of No Confidence	
2018-12-08 03:44:27 Etc/GMT	Laurens Bosman	
2018-12-08 03:53:10 Etc/GMT	Brendan Chan	
2018-12-08 03:55:43 Etc/GMT	Laurens Bosman	
2018-12-08 03:59:28 Etc/GMT	Brendan Chan	
2018-12-08 04:01:55 Etc/GMT	Brendan Chan	
2018-12-08 04:02:03 Etc/GMT	Brendan Chan	
2018-12-08 04:51:54 Etc/GMT	Hailey Friesen	
2018-12-08 05:13:49 Etc/GMT	Brendan Chan	
2018-12-08 05:19:59 Etc/GMT	Brendan Chan	
2018-12-08 05:37:05 Etc/GMT	Hailey Friesen	
2018-12-08 06:04:31 Etc/GMT	Brendan Chan	
2018-12-08 07:41:30 Etc/GMT	Brendan Chan	
2018-12-08 08:17:16 Etc/GMT	Vote of No Confidence	
2018-12-08 10:38:22 Etc/GMT	Laurens Bosman	
2018-12-08 22:21:07 Etc/GMT	Hailey Friesen	
2018-12-08 23:01:36 Etc/GMT	Laurens Bosman	
2018-12-09 01:00:01 Etc/GMT	Hailey Friesen	
2018-12-09 02:04:24 Etc/GMT	John Sweeney	
2018-12-09 02:20:56 Etc/GMT	Vote of No Confidence	
2018-12-09 05:10:47 Etc/GMT	Brendan Chan	
2018-12-09 06:14:16 Etc/GMT	Laurens Bosman	
2018-12-09 06:38:18 Etc/GMT	Brendan Chan	
